price,bedrooms,bathrooms,accommodates,parking_spaces,square_meters,pool,garden,security,pet_friendly,near_beach,location_score,property_age,description_length,num_photos,has_agency,property_type_id
2995000.0,2,2,5,2.0,125.0,0,1,0,1,1,8,10,557,6,1,4
2995000.0,3,2,7,4.0,0.0,0,1,1,1,1,7,10,2043,26,1,4
2995000.0,3,2,7,6.0,605.0,0,1,0,1,1,7,10,1225,33,1,4
2995000.0,3,2,7,0.0,210.0,0,0,0,1,1,7,10,995,22,1,4
2995000.0,3,2,7,4.0,0.0,0,1,1,0,1,7,10,1063,24,1,4
2995000.0,2,2,5,4.0,0.0,0,1,0,1,1,7,10,1360,28,1,4
2995000.0,3,2,7,6.0,0.0,1,1,0,1,1,8,10,459,22,1,4
2995000.0,2,2,5,5.0,0.0,0,1,1,1,0,7,10,1543,22,1,4
3090000.0,4,2,9,4.0,0.0,0,1,0,1,1,8,10,729,25,1,4
3095000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1392,11,1,8
3095000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1194,13,1,8
3100000.0,1,1,3,0.0,0.0,1,0,0,0,1,7,10,1332,18,1,8
3100000.0,3,2,7,4.0,0.0,0,1,1,1,0,7,10,1252,17,1,4
3150000.0,5,3,11,6.0,0.0,0,1,1,1,1,7,10,964,28,1,4
3150000.0,7,2,15,4.0,0.0,0,0,0,1,1,7,10,671,50,1,4
3175000.0,3,2,7,4.0,0.0,0,1,0,1,1,7,10,1921,32,1,4
3175000.0,4,2,9,4.0,0.0,0,1,0,1,0,7,10,763,19,1,4
3180000.0,5,3,11,5.0,0.0,0,1,0,1,1,7,10,885,25,1,4
3180000.0,5,3,11,8.0,336.0,0,1,0,1,1,7,10,2963,36,1,4
3180000.0,5,3,11,6.0,0.0,0,1,0,1,1,7,10,1706,25,1,4
3180000.0,5,3,11,4.0,0.0,0,1,0,0,1,7,10,1565,30,1,4
3195000.0,5,3,11,4.0,0.0,0,0,0,1,1,8,10,1697,69,1,4
3195000.0,3,2,7,2.0,0.0,0,1,1,1,1,8,10,2118,51,1,4
3200000.0,3,2,7,8.0,0.0,1,1,1,1,1,8,10,1694,21,1,4
3200000.0,1,1,3,0.0,0.0,1,1,0,0,1,7,10,1255,22,1,8
3200000.0,2,2,5,2.0,0.0,0,1,1,0,1,8,10,930,21,1,4
3200000.0,3,2,7,6.0,0.0,0,1,0,0,1,8,10,523,29,1,4
3200000.0,2,2,5,2.0,0.0,0,1,0,1,1,7,10,1761,35,1,4
3200000.0,3,2,7,4.0,0.0,1,1,1,1,1,9,10,1262,24,1,4
3250000.0,2,2,5,3.0,0.0,0,1,0,1,1,9,10,403,20,1,6
3250000.0,2,2,5,3.0,0.0,0,0,0,1,1,9,10,788,32,1,4
3250000.0,2,2,5,3.0,0.0,1,1,1,1,1,9,10,1317,13,1,4
3250000.0,2,2,5,2.0,0.0,1,0,1,1,1,9,10,1114,16,1,4
3250000.0,2,2,5,2.0,0.0,0,1,1,1,1,9,10,962,20,1,4
3250000.0,2,2,5,3.0,0.0,1,1,1,1,1,9,10,1295,33,1,4
3295000.0,3,3,7,4.0,0.0,1,1,0,1,1,9,10,868,34,1,4
3300000.0,4,3,9,6.0,0.0,1,1,1,1,1,8,10,1985,30,1,4
3300000.0,3,2,7,5.0,0.0,1,1,0,1,1,9,10,1387,20,1,4
3300000.0,2,2,5,4.0,0.0,0,1,0,1,0,7,10,2395,42,1,4
3300000.0,1,1,3,0.0,1496.0,1,0,1,0,1,7,10,1123,27,1,8
3300000.0,3,2,7,2.0,0.0,0,1,0,1,1,9,10,1166,17,1,4
3395000.0,3,3,7,6.0,0.0,0,1,0,1,1,7,10,1204,22,1,4
3395000.0,4,3,9,4.0,0.0,0,1,1,1,1,7,10,1896,45,1,4
3395000.0,3,3,7,4.0,0.0,0,0,0,1,1,7,10,991,63,1,4
3395000.0,5,2,11,6.0,833.0,0,1,0,1,1,7,10,2782,35,1,4
3399000.0,3,2,7,4.0,0.0,0,1,1,1,1,7,10,1020,51,1,4
3399000.0,3,3,7,2.0,0.0,0,1,1,0,1,7,10,1524,17,1,4
3400000.0,3,3,7,10.0,0.0,0,1,0,1,1,7,10,1647,18,1,4
3400000.0,3,3,7,2.0,0.0,0,1,1,1,1,7,10,2197,29,1,4
3400000.0,4,2,9,4.0,0.0,0,0,0,1,1,7,10,1496,16,1,4
