price,bedrooms,bathrooms,accommodates,parking_spaces,square_meters,pool,garden,security,pet_friendly,near_beach,location_score,property_age,description_length,num_photos,has_agency,property_type_id,suburb,city,listing_number,listing_url
1695000.0,2,1,5,2.0,0.0,0,0,1,1,1,7,10,1786,34,1,4,Pearly Beach,Gansbaai,P24-116824648,https://www.property24.com/for-sale/pearly-beach/gansbaai/western-cape/7860/116824648
1695000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,552,17,1,8,Suiderstrand,Suiderstrand,P24-116770790,https://www.property24.com/for-sale/suiderstrand/suiderstrand/western-cape/7822/116770790
1750000.0,3,2,7,1.0,0.0,0,0,0,1,1,7,10,1033,29,1,5,Gansbaai Central,Gansbaai,P24-116714372,https://www.property24.com/for-sale/gansbaai-central/gansbaai/western-cape/16693/116714372
1750000.0,1,1,3,0.0,773.0,0,0,0,0,1,7,10,1533,10,1,8,Struisbaai,Struisbaai,P24-116803781,https://www.property24.com/for-sale/struisbaai/struisbaai/western-cape/7888/116803781
1750000.0,1,1,3,0.0,0.0,0,0,0,0,1,7,10,1248,23,1,8,Struisbaai,Struisbaai,P24-116780764,https://www.property24.com/for-sale/struisbaai/struisbaai/western-cape/7888/116780764
1795000.0,3,1,7,2.0,0.0,0,1,0,1,1,7,10,1186,22,1,4,Pearly Beach,Gansbaai,P24-116828739,https://www.property24.com/for-sale/pearly-beach/gansbaai/western-cape/7860/116828739
1795000.0,3,2,7,3.0,0.0,1,1,0,1,0,7,10,1497,23,1,4,Grabouw Central,Grabouw,P24-116742858,https://www.property24.com/for-sale/grabouw-central/grabouw/western-cape/17973/116742858
1795000.0,4,2,9,4.0,0.0,0,1,0,1,1,7,10,762,22,1,4,Kleinbaai,Gansbaai,P24-116835253,https://www.property24.com/for-sale/kleinbaai/gansbaai/western-cape/7865/116835253
1800000.0,3,2,7,7.0,0.0,0,1,1,1,1,7,10,1721,46,1,4,Franskraal,Gansbaai,P24-116825211,https://www.property24.com/for-sale/franskraal/gansbaai/western-cape/7863/116825211
1850000.0,2,2,5,5.0,0.0,0,1,1,1,0,7,10,1236,44,1,4,Napier,Napier,P24-115837565,https://www.property24.com/for-sale/napier/napier/western-cape/7877/115837565
